fish i.d.,Species,Date of Capture,FL,European Age,Age Confidence(1-4),Andrew ages,comments,Catch Location
CK615,Chinook,5/31/21 21:26,55,0.2,2,,,
CK616,Chinook,5/31/21 21:50,68,0.2,2,0.2,,
CK617,Chinook,5/31/21 22:44,79,1.2,3,1.2,,
CK618,Chinook,5/31/21 22:51,59,0.2,2,,,
CK619,Chinook,6/16/21 16:13,57,0.2,1,,,
CK620,Chinook,6/16/21 16:39,65,1.2,1,x,Too regenerated  for me to call this one,
CK621,Chinook,6/16/21 16:44,63,0.2,4,,,
CK622,Chinook,6/16/21 16:48,56,0.2,4,,,
CK623,Chinook,6/16/21 17:51,76,0.3,2,,,
CK624,Chinook,6/16/21 21:14,77,0.3,2,,,
CK625,Chinook,6/17/21 13:21,94,1.3,2,x,I'd like to see whole scale probably 1.3,
CK626,Chinook,6/17/21 13:25,57,R,,,,
CK627,Chinook,6/17/21 13:31,55,0.2,4,,,
CK628,Chinook,6/17/21 13:39,72,0.3,3,,,
CK629,Chinook,6/17/21 13:55,65,1.2,2,1.2,kinda look like wild 1.2 but the freshwater annulus is really few circulli,
CK630,Chinook,6/17/21 14:00,54,R,,,,
CK631,Chinook,6/17/21 14:06,56,0.2,3,,,
CK632,Chinook,6/17/21 14:21,71,0.2,3,,,
CK633,Chinook,6/17/21 14:25,55,0.2,4,,,
CK634,Chinook,6/17/21 15:00,65,0.2,2,,,
CK635,Chinook,6/17/21 15:46,79,1.2,4,1.2,,
CK636,Chinook,6/17/21 17:39,82,1.2,4,1.2,,
CK637,Chinook,6/17/21 17:43,81,0.3,3,,,
CK638,Chinook,6/17/21 20:06,65,0.2,4,,,
CK639,Chinook,6/17/21 20:27,69,0.2,4,0.2,,
CK640,Chinook,6/17/21 20:49,69,R,,,,
CK641,Chinook,6/17/21 21:26,57,0.2,3,,,
CK642,Chinook,6/17/21 21:30,66,0.2,4,,,
CK643,Chinook,6/17/21 21:42,70,0.2,2,0.2,,
CK644,Chinook,6/17/21 21:50,64,0.2,4,,,
CK645,Chinook,6/17/21 21:55,53,0.2,4,,,
CK646,Chinook,6/17/21 22:05,66,0.2,2,,,
CK647,Chinook,6/17/21 22:08,58,0.2,3,,,
CK648,Chinook,6/17/21 22:13,69,0.2,2,0.2,,
CK649,Chinook,6/17/21 22:16,59,0.2,4,,,
CK650,Chinook,6/17/21 22:27,59,0.2,3,,,
CK651,Chinook,6/18/21 13:04,54,0.2,4,,,
CK652,Chinook,6/18/21 13:25,61,0.2,2,,,
CK653,Chinook,6/18/21 13:28,62,0.2,4,,,
CK654,Chinook,6/18/21 13:34,59,0.2,3,,,
CK655,Chinook,6/18/21 13:36,57,0.2,3,,,
CK656,Chinook,6/18/21 13:46,63,0.2,3,,,
CK657,Chinook,6/18/21 13:53,61,0.2,4,,,
CK658,Chinook,6/18/21 13:58,65,0.2,2,,,
CK659,Chinook,6/18/21 14:02,65,0.2,4,,,
CK660,Chinook,6/18/21 14:20,74,0.2,2,0.2,regenerated,
CK661,Chinook,6/18/21 14:28,58,0.2,3,,,
CK662,Chinook,6/18/21 14:33,62,R,,,,
CK663,Chinook,6/18/21 14:42,58,0.2,3,,,
CK664,Chinook,6/18/21 14:46,67,0.2,4,,,
CK665,Chinook,6/18/21 15:11,56,0.2,3,,,
CK666,Chinook,6/18/21 15:17,78,0.3,4,,,
CK667,Chinook,6/18/21 15:34,53,0.2,1,,,
CK668,Chinook,6/18/21 15:42,57,0.2,3,,,
CK669,Chinook,6/18/21 15:54,59,0.2,3,,,
CK670,Chinook,6/18/21 17:49,65,0.2,2,0.2,,
CK671,Chinook,6/18/21 17:59,60,0.2,4,,,
CK672,Chinook,6/18/21 18:21,73,0.2,2,,,
CK673,Chinook,6/18/21 18:39,62,R,,,,
CK674,Chinook,6/18/21 18:43,68,R,,,,
CK675,Chinook,6/18/21 18:49,73,1.2,1,1.2,This looks like a wild yearling pattern to me,
CK676,Chinook,6/18/21 19:08,66,0.2,3,,,
CK677,Chinook,6/18/21 19:16,63,0.2,3,,,
CK678,Chinook,6/18/21 19:21,62,0.2,3,,,
CK679,Chinook,6/18/21 19:29,71,R,,,,
CK680,Chinook,6/18/21 19:32,68,0.3,2,0.3,wierd one..2.2?,
CK681,Chinook,6/18/21 19:35,69,0.3,2,0.3,,
CK682,Chinook,6/18/21 20:13,60,R,,,,
CK683,Chinook,6/18/21 20:22,70,0.2,2,0.2,,
CK684,Chinook,6/18/21 20:58,66,0.2,3,,,
CK685,Chinook,6/18/21 21:04,55,0.2,4,,,
CK686,Chinook,6/18/21 22:14,76,0.3,2,,,
CK687,Chinook,7/15/21 13:36,57,0.2,3,,,
CK688,Chinook,7/15/21 13:53,64,R,,,,
CK689,Chinook,7/15/21 14:24,49,0.2,2,,,
CK690,Chinook,7/15/21 14:29,51,0.2,2,,,
CK691,Chinook,7/15/21 14:44,56,0.2,4,,,
CK692,Chinook,7/15/21 14:48,55,0.2,4,,,
CK693,Chinook,7/15/21 14:57,54,0.2,2,,,
CK694,Chinook,7/15/21 15:14,60,0.2,3,0.2,,
CK695,Chinook,7/15/21 15:19,60,0.2,4,,,
CK696,Chinook,7/15/21 15:25,63,0.2,4,,,
CK697,Chinook,7/15/21 16:15,64,0.2,4,,,
CK698,Chinook,7/15/21 16:40,74,R,,,,
CK699,Chinook,7/15/21 17:09,73,0.2,3,,,
CK700,Chinook,7/15/21 18:08,66,0.2,3,,,
CK701,Chinook,7/15/21 18:13,65,0.2,4,,,
CK702,Chinook,7/15/21 18:31,65,R,,,,
CK703,Chinook,7/15/21 19:04,71,0.2,2,,,
CK704,Chinook,7/15/21 19:11,57,R,,,,
CK705,Chinook,7/15/21 19:16,63,0.2,3,,,
CK706,Chinook,7/15/21 19:30,55,0.2,3,,,
CK707,Chinook,7/15/21 19:36,61,0.2,3,,,
CK708,Chinook,7/15/21 20:27,56,R,,,,
CK709,Chinook,7/15/21 20:48,65,0.2,4,,,
CK710,Chinook,7/15/21 20:52,60,R,,,,
CK711,Chinook,7/15/21 21:48,59,0.2,4,,,
CK712,Chinook,7/15/21 21:52,62,0.2,4,,,
CK713,Chinook,7/15/21 21:58,68,0.2,4,,,
CK714,Chinook,7/15/21 22:07,75,0.3,3,,,
CK715,Chinook,7/15/21 22:18,80,R,,,,
CK716,Chinook,7/15/21 22:32,61,0.2,2,,,
CK717,Chinook,7/15/21 22:38,55,R,,,,
CK718,Chinook,7/15/21 22:43,64,0.2,4,,,
CK719,Chinook,7/15/21 22:50,60,0.2,4,,,
CK720,Chinook,7/15/21 23:08,62,0.2,3,,,
CK721,Chinook,7/16/21 15:38,75,0.3,2,,,
CK722,Chinook,7/16/21 15:46,51,0.2,3,,,
CK723,Chinook,7/16/21 15:51,70,0.2,3,0.2,,
CK724,Chinook,7/16/21 15:56,58,0.2,3,,,
CK725,Chinook,7/16/21 16:01,81,0.3,2,,,
CK726,Chinook,7/16/21 16:05,82,0.3,3,,,
CK727,Chinook,7/16/21 16:10,72,R,,,,
CK728,Chinook,7/16/21 16:14,75,R,,,,
CK729,Chinook,7/16/21 16:17,63,0.3,3,,,
CK730,Chinook,7/16/21 16:22,59,0.2,2,,,
CK731,Chinook,7/16/21 16:27,70,0.2,4,,,
CK732,Chinook,7/16/21 16:31,64,R,,,,
CK733,Chinook,7/16/21 16:33,67,0.2,3,,,
CK734,Chinook,7/16/21 16:36,62,0.2,3,,,
CK735,Chinook,7/16/21 16:40,68,0.2,3,,,
CK736,Chinook,7/16/21 16:43,58,R,2,R,too regenerated for me to age,
CK737,Chinook,7/16/21 17:01,69,0.3,4,,,
CK738,Chinook,7/16/21 17:23,56,0.2,3,,,
CK739,Chinook,7/16/21 17:27,62,0.2,1,0.2,,
CK740,Chinook,7/16/21 17:30,59,0.2,4,,,
CK741,Chinook,7/16/21 17:40,58,0.2,2,,,
CK742,Chinook,7/16/21 18:50,52,R,,,,
CK743,Chinook,7/16/21 20:50,55,0.2,2,0.2,,
CK744,Chinook,7/16/21 21:17,69,0.2,4,,,
CK745,Chinook,7/16/21 22:03,63,R,,,,
CK746,Chinook,7/16/21 22:36,64,0.2,4,,,
CK747,Chinook,7/17/21 15:16,64,1.2,3,1.2,,
CK748,Chinook,7/17/21 15:46,57,0.2,3,,,
CK749,Chinook,7/17/21 15:58,74,0.2,2,,,
CK750,Chinook,7/17/21 16:02,62,0.2,1,,,
CK751,Chinook,7/17/21 16:12,62,R,,,,
CK752,Chinook,7/17/21 16:19,54,0.2,4,,,
CK753,Chinook,7/17/21 16:57,75,0.2,1,,,
CK754,Chinook,7/17/21 17:32,68,0.2,4,,,
CK755,Chinook,7/17/21 17:54,74,0.3,3,0.3,,
CK756,Chinook,7/17/21 18:13,83,0.3,3,0.3,,
CK757,Chinook,7/17/21 19:25,60,0.2,4,,,
CK758,Chinook,7/17/21 19:31,57,1.2,4,1.2,,
CK759,Chinook,7/17/21 19:35,73,0.2,3,,,
CK760,Chinook,7/17/21 19:44,74,0.2,3,,,
CK761,Chinook,7/17/21 19:54,65,0.2,2,0.2,,
CK762,Chinook,7/17/21 19:58,76,R,,,all regen,
CK763,Chinook,7/17/21 20:02,67,0.2,3,,,
CK764,Chinook,7/17/21 20:05,62,R,,,,
CK765,Chinook,7/17/21 20:09,66,R,,,,
CK766,Chinook,7/17/21 20:15,72,0.3,3,,,
CK767,Chinook,7/17/21 20:21,63,0.2,4,,,
CK768,Chinook,7/17/21 20:25,75,0.3,2,,,
CK769,Chinook,7/17/21 20:38,54,1.1,1,1.1,,
CK770,Chinook,7/22/21 15:38,55,1.1,1,0.2,kinda on the fence 1.1,
CK771,Chinook,7/22/21 16:06,62,0.2,3,,,
CK772,Chinook,7/22/21 16:25,61,0.2,3,0.2,,
CK773,Chinook,7/22/21 16:32,81,R,,,,
CK774,Chinook,7/22/21 16:36,63,0.2,2,,,
CK775,Chinook,7/22/21 16:40,69,0.2,3,,,
CK776,Chinook,7/22/21 16:51,70,0.2,4,,,
CK777,Chinook,7/22/21 16:56,69,R,,,,
CK778,Chinook,7/22/21 17:18,71,0.2,3,,,
CK779,Chinook,7/22/21 17:27,78,0.3,3,0.3,,
CK780,Chinook,7/22/21 17:37,63,R,,,,
CK781,Chinook,7/22/21 17:48,72,0.2,2,0.2,,
CK782,Chinook,7/22/21 17:58,68,0.2,4,,,
CK783,Chinook,7/22/21 18:06,60,0.2,4,0.2,,
CK784,Chinook,7/22/21 19:02,73,0.2,3,0.2,,
CK785,Chinook,7/22/21 19:13,70,R,,,all regen,
CK786,Chinook,7/22/21 19:18,71,0.2,3,,,
CK787,Chinook,7/22/21 19:23,69,0.3,2,,,
CK788,Chinook,7/22/21 19:32,76,0.3,4,,,
CK789,Chinook,7/22/21 19:42,74,0.2,4,,,
CK790,Chinook,7/22/21 19:46,82,0.2,2,0.2,,
CK791,Chinook,7/22/21 20:04,67,0.2,3,,,
CK792,Chinook,7/22/21 20:07,76,0.3,3,0.3,,
CK793,Chinook,7/22/21 20:10,59,0.2,3,0.2,,
CK794,Chinook,7/22/21 20:18,59,0.2,4,,,
CK795,Chinook,7/22/21 20:24,64,R,,,,
CK796,Chinook,7/22/21 20:28,83,R,,,all regen,
CK797,Chinook,7/22/21 20:33,68,0.2,2,,,
CK798,Chinook,7/22/21 20:36,56,R,,,,
CK799,Chinook,7/22/21 20:39,78,R,,,all regen,
CK800,Chinook,7/22/21 20:47,66,R,,,all regen,
CK801,Chinook,7/22/21 20:51,64,0.2,3,,,
CK802,Chinook,7/22/21 20:56,58,0.2,2,,,
CK803,Chinook,7/22/21 21:14,64,0.2,2,,,
CK804,Chinook,7/22/21 21:23,56,0.2,4,,,
CK805,Chinook,7/22/21 21:36,78,R,,,,
CK806,Chinook,7/22/21 21:47,66,0.2,3,,,
CK807,Chinook,7/22/21 21:51,68,R,,,,
CK808,Chinook,7/22/21 21:55,72,0.2,2,,,
CK809,Chinook,7/22/21 21:59,73,0.3,2,,,
CK810,Chinook,7/22/21 22:29,80,0.2,1,0.2,,
CK811,Chinook,7/22/21 22:47,55,0.2,2,,,
CK812,Chinook,7/23/21 15:24,78,0.3,3,,,
CK813,Chinook,7/23/21 15:28,63,0.2,2,0.2,,
CK814,Chinook,7/23/21 15:41,55,R,,,,
CK815,Chinook,7/23/21 17:04,72,R,,,all regen,
CK816,Chinook,7/23/21 17:16,60,0.2,2,0.2,,
CK817,Chinook,7/23/21 18:32,55,R,,,,
CK818,Chinook,7/23/21 20:33,76,R,,,,
CK819,Chinook,7/23/21 21:18,83,0.3,4,,,
CK820,Chinook,7/23/21 21:25,79,R,1,R,too regenerated for me to age,
CK821,Chinook,7/23/21 21:29,69,0.2,1,,,
CK822,Chinook,7/23/21 21:34,78,R,,,all regen,
CK823,Chinook,7/23/21 21:40,83,0.4,2,0.4,,
CK824,Chinook,7/23/21 22:03,75,R,,,,
CK825,Chinook,7/23/21 22:15,79,0.3,2,,,
CK826,Chinook,7/23/21 22:26,71,0.2,3,,,
CK827,Chinook,7/24/21 13:38,68,0.2,3,,,
CK828,Chinook,7/24/21 15:17,60,0.2,4,,,
CK829,Chinook,7/24/21 15:19,56,R,,,,
CK830,Chinook,7/24/21 15:56,70,0.3,3,,,
CK831,Chinook,7/24/21 15:59,58,0.2,2,,,
CK832,Chinook,7/24/21 16:02,58,0.2,4,,,
CK833,Chinook,7/24/21 16:07,61,0.2,3,,,
CK834,Chinook,7/24/21 16:12,71,0.3,2,,,
CK835,Chinook,7/24/21 16:15,63,R,,,,
CK836,Chinook,7/24/21 16:20,52,0.2,3,,,
CK837,Chinook,7/24/21 16:43,55,0.2,3,,,
CK838,Chinook,7/24/21 16:46,60,0.2,3,,,
CK839,Chinook,7/24/21 17:06,58,R,,,all regen,
,,,,,,,,
CK841,Chinook,7/24/21 18:23,56,0.2,3,,,
CK842,Chinook,7/24/21 18:47,53,0.1,1,0.1,,
CK843,Chinook,7/24/21 18:52,59,0.2,3,,,
CK844,Chinook,7/24/21 18:58,67,0.2,2,,,
CK845,Chinook,7/24/21 20:12,54,0.2,1,,,
CK846,Chinook,7/24/21 20:51,59,R,,,,
CK847,Chinook,9/2/21 14:25,72,0.2,3,,,
CK848,Chinook,9/2/21 19:24,47,0.1,2,,,
CK849,Chinook,9/2/21 21:19,51,0.1,2,,,
CK850,Chinook,9/3/21 16:08,74,0.3,2,0.3,,
CK851,Chinook,9/3/21 16:30,67,R,1,R,too regenerated for me to age,
CK852,Chinook,9/3/21 17:00,67,0.2,3,,,
CK853,Chinook,9/3/21 18:16,69,R,,,,
CK854,Chinook,9/3/21 20:19,65,0.2,4,,,
CK855,Chinook,9/3/21 20:22,58,0.1,2,0.1,,
CK856,Chinook,9/3/21 20:42,68,R,3,R,too regenerated for me to age,
CK857,Chinook,9/3/21 20:54,64,R,,,,
CK858,Chinook,9/3/21 21:04,61,0.2,3,,,
CK859,Chinook,9/3/21 21:14,63,0.2,4,,,
