"fl","year","stock","stock_aggregate","fw_age","ocean_age"
79,2020,"CARIBOO_RIVER","Fraser Year.","0","3"
72,2020,"ADAMS_RIVER","Fraser 4.1","0","3"
47,2020,"SOOS_CREEK","Puget Sound","0","1"
52,2020,"GREEN_RIVER","Puget Sound","0","2"
63,2020,"SHUSWAP_RIVER-LOWER","Fraser 4.1","0","2"
67,2020,"ABERNATHY_RIVER","Low Col.","0","2"
80,2020,"SOOS_CREEK","Puget Sound","0","3"
52,2020,"GREEN_RIVER","Puget Sound","1","1"
82,2020,"ADAMS_RIVER","Fraser 4.1","0","3"
61,2020,"ABERNATHY_RIVER","Low Col.","0","2"
64,2020,"HANFORD_REACH","Up Col.","0","2"
68,2020,"SOOS_CREEK","Puget Sound","0","2"
57,2020,"GREEN_RIVER","Puget Sound","0","2"
49,2020,"ABERNATHY_RIVER","Low Col.","0","1"
63,2020,"COWLITZ_HATCHERY_SPRING","Low Col.","0","2"
49,2020,"ABERNATHY_RIVER","Low Col.","0","1"
47,2020,"LYON'S_FERRY","Up Col.","0","1"
52,2020,"ABERNATHY_RIVER","Low Col.","0","1"
49,2020,"ABERNATHY_RIVER","Low Col.","0","1"
46,2020,"SOOS_CREEK","Puget Sound","0","1"
52,2020,"ABERNATHY_RIVER","Low Col.","0","2"
62,2020,"SNOHOMISH_RIVER","Puget Sound","0","2"
75,2020,"ABERNATHY_RIVER","Low Col.","0","2"
45,2020,"SOOS_CREEK","Puget Sound","0","1"
49,2020,"LYON'S_FERRY","Up Col.","0","1"
51,2020,"SIMILKAMEEN","Up Col.","0","1"
57,2020,"SOOS_CREEK","Puget Sound","0","2"
53,2020,"BATTLE_CREEK","Cali","0","1"
58,2020,"ABERNATHY_RIVER","Low Col.","0","2"
56,2020,"LYON'S_FERRY","Up Col.","0","2"
59,2020,"UMPQUA_SPRING","WA_OR","1","1"
46,2020,"ABERNATHY_RIVER","Low Col.","0","1"
51,2020,"ABERNATHY_RIVER","Low Col.","0","1"
60,2020,"SOOS_CREEK","Puget Sound","0","2"
52,2020,"ABERNATHY_RIVER","Low Col.","0","1"
57,2020,"SANTIAM_RIVER_North","Low Col.","0","1"
53,2020,"SOOS_CREEK","Puget Sound","0","2"
78,2020,"HARRISON_RIVER","Fraser Fall","0","3"
65,2020,"ABERNATHY_RIVER","Low Col.","0","2"
79,2020,"ABERNATHY_RIVER","Low Col.","1","2"
54,2020,"SOOS_CREEK","Puget Sound","0","2"
52,2020,"ABERNATHY_RIVER","Low Col.","0","1"
78,2020,"LITTLE_RIVER","Fraser 4.1","1","2"
55,2020,"ABERNATHY_RIVER","Low Col.","0","1"
53,2020,"SOOS_CREEK","Puget Sound","0","2"
62,2020,"COWICHAN_RIVER","ECVI","0","2"
52,2020,"HARRISON_RIVER","Fraser Fall","0","1"
51,2020,"NOOKSACK_RIVER","Puget Sound","0","1"
54,2020,"SOOS_CREEK","Puget Sound","0","2"
60,2020,"SOOS_CREEK","Puget Sound","0","2"
68,2020,"SOOS_CREEK","Puget Sound","0","2"
61,2020,"COWLITZ_HATCHERY_SPRING","Low Col.","1","1"
61,2020,"LYON'S_FERRY","Up Col.","1","1"
79,2020,"LITTLE_RIVER","Fraser 4.1","0","3"
57,2020,"COWICHAN_RIVER","ECVI","0","2"
87,2020,"ABERNATHY_RIVER","Low Col.","0","3"
59,2020,"SNOHOMISH_RIVER","Puget Sound","0","2"
90,2020,"ROBERTSON_CREEK","WCVI","0","3"
75,2020,"ROBERTSON_CREEK","WCVI","0","2"
69,2020,"ROBERTSON_CREEK","WCVI","0","2"
77,2020,"HARRISON_RIVER","Fraser Fall","0","2"
67,2020,"ABERNATHY_RIVER","Low Col.","0","2"
70,2020,"NOOKSACK_RIVER","Puget Sound","0","2"
70,2020,"SNOHOMISH_RIVER","Puget Sound","0","2"
61,2020,"SOOS_CREEK","Puget Sound","0","2"
58,2020,"ABERNATHY_RIVER","Low Col.","0","2"
56,2020,"NOOKSACK_RIVER","Puget Sound","0","1"
64,2020,"ABERNATHY_RIVER","Low Col.","0","2"
81,2020,"LYON'S_FERRY","Up Col.","0","3"
60,2020,"ABERNATHY_RIVER","Low Col.","0","2"
49,2020,"SHUSWAP_RIVER-LOWER","Fraser 4.1","0","1"
51,2020,"GREEN_RIVER-Kendal","Puget Sound","0","1"
65,2020,"SOOS_CREEK","Puget Sound","0","2"
62,2020,"SOOS_CREEK","Puget Sound","0","2"
58,2020,"SOOS_CREEK","Puget Sound","0","2"
