event,set,species,count
CT2019_124,124,chinook,2
CT2019_124,124,pink,5
CT2019_124,124,coho,2
CT2019_125,125,chinook,1
CT2019_125,125,coho,5
CT2019_125,125,pink,6
CT2019_126,126,coho,4
CT2019_126,126,halibut,1
CT2019_126,126,pink,10
CT2019_127,127,pink,7
CT2019_127,127,coho,2
CT2019_128,128,pink,12
CT2019_128,128,coho,1
CT2019_129,129,pink,6
CT2019_129,129,coho,1
CT2019_130,130,coho,4
CT2019_130,130,pink,2
CT2019_132,132,chinook,3
CT2019_132,132,coho,3
CT2019_132,132,sockeye,1
CT2019_132,132,pink,5
CT2019_133,133,chinook,2
CT2019_133,133,coho,5
CT2019_134,134,coho,1
CT2019_134,134,lingcod,5
CT2019_134,134,canary rockfish,1
CT2019_135,135,halibut,1
CT2019_135,135,coho,1
CT2019_136,136,lingcod,1
CT2019_136,136,canary rockfish,1
CT2019_136,136,coho,1
CT2019_137,137,yellowtail rockfish,2
CT2019_137,137,coho,1
CT2019_138,138,coho,1
CT2019_139,139,coho,3
CT2019_140,140,chinook,1
CT2019_141,141,coho,1
CT2019_142,142,pink,1
CT2019_144,144,coho,1
CT2019_145,145,coho,2
CT2019_146,146,coho,2
CT2019_147,147,coho,5
CT2019_147,147,pink,1
CT2019_148,148,pink,1
CT2019_148,148,coho,5
CT2019_149,149,coho,7
CT2019_149,149,pink,1
CT2019_149,149,chinook,2
CT2019_150,150,coho,6
CT2019_150,150,pink,1
CT2019_150,150,chinook,1
CT2019_151,151,coho,1
CT2019_152,152,chinook,1
CT2019_152,152,pink,1
CT2019_153,153,pink,1
CT2019_153,153,coho,1
CT2019_153,153,ling cod,1
CT2019_153,153,sanddab,1
CT2019_154,154,coho,1
CT2019_155,155,coho,1
CT2019_156,156,pink,1
CT2019_158,158,chinook,1
CT2019_158,158,lingcod,1
CT2019_158,158,coho,2
CT2019_159,159,coho,5
CT2019_159,159,pink,2
CT2019_160,160,coho,3
CT2019_161,161,chinook,1
CT2019_161,161,coho,4
CT2019_162,162,coho,3
CT2019_163,163,coho,5
CT2019_164,164,coho,3
CT2019_166,166,pink,1
CT2019_167,167,coho,1
CT2019_168,168,coho,2
CT2019_170,170,chinook,2
CT2019_170,170,coho,2
CT2019_171,171,chinook,1
CT2019_171,171,coho,1
CT2019_172,172,coho,1
CT2019_173,173,chinook,1
CT2019_173,173,pink,3
CT2019_173,173,coho,2
CT2019_174,174,chinook,2
CT2019_174,174,coho,2
CT2019_175,175,chinook,1
CT2019_175,175,coho,7
CT2019_176,176,chinook,1
CT2019_176,176,coho,5
CT2019_177,177,coho,3
CT2019_178,178,chinook,2
CT2019_178,178,coho,9
CT2019_179,179,chinook,1
CT2019_180,180,coho,8
CT2019_182,182,coho,5
CT2019_183,183,chinook,1
CT2019_183,183,coho,3
CT2019_184,184,coho,1
CT2019_185,185,chinook,1
CT2019_185,185,coho,7
CT2019_186,186,chinook,2
CT2019_186,186,pink,2
CT2019_187,187,coho,8
CT2019_187,187,jack mackerel,1
CT2019_187,187,chinook,7
CT2019_188,188,coho,11
CT2019_188,188,chinook,2
CT2019_189,189,chinook,1
CT2019_189,189,coho,3
CT2019_190,190,coho,3
CT2019_190,190,canary rockfish,1
CT2019_191,191,chinook,1
CT2019_191,191,coho,3
CT2019_192,192,coho,8
CT2019_193,193,chinook,2
CT2019_193,193,coho,7
CT2019_194,194,chinook,3
CT2019_194,194,coho,4
CT2019_195,195,chinook,2
CT2019_195,195,coho,5
CT2019_196,196,chinook,1
CT2019_196,196,coho,3
CT2019_197,197,chinook,1
CT2019_197,197,coho,4
CT2019_198,198,coho,7
CT2019_199,199,chinook,3
CT2019_199,199,coho,5
CT2019_200,200,coho,9
CT2019_200,200,yellowtail rockfish,2
CT2019_201,201,coho,9
CT2019_202,202,chinook,1
CT2019_202,202,coho,3
CT2019_203,203,coho,5
CT2019_204,204,chinook,2
CT2019_204,204,coho,9
CT2019_204,204,jack mackerel,1
CT2019_206,206,coho,2
CT2019_207,207,coho,4
CT2019_208,208,chinook,3
CT2019_208,208,coho,3
CT2019_208,208,canary rockfish,1
CT2019_209,209,chinook,2
CT2019_209,209,coho,4
CT2019_210,210,chinook,1
CT2019_210,210,coho,7
CT2019_211,211,chinook,1
CT2019_211,211,coho,3
CT2019_212,212,chinook,1
CT2019_212,212,coho,1
CT2019_213,213,chinook,1
CT2019_213,213,coho,4
CT2019_214,214,chinook,2
CT2019_214,214,coho,5
CT2019_215,215,chinook,3
CT2019_215,215,coho,9
CT2019_216,216,coho,1
CT2019_216,216,chinook,4
CT2019_217,217,coho,2
CT2019_218,218,coho,6
CT2019_219,219,coho,1
CT2019_220,220,chinook,1
CT2020_001,001,halibut,1
CT2020_002,002,lingcod,2
CT2020_002,002,coho,2
CT2020_002,002,chinook,1
CT2020_003,003,coho,3
CT2020_004,004,chinook,1
CT2020_004,004,coho,3
CT2020_005,005,coho,4
CT2020_006,006,coho,6
CT2020_007,007,coho,6
CT2020_008,008,coho,4
CT2020_009,009,coho,3
CT2020_010,010,coho,6
CT2020_011,011,coho,1
CT2020_013,013,coho,2
CT2020_014,014,coho,3
CT2020_015,015,coho,3
CT2020_016,016,coho,5
CT2020_017,017,coho,10
CT2020_018,018,coho,10
CT2020_019,019,coho,2
CT2020_022,022,coho,1
CT2020_024,024,coho,1
CT2020_024,024,halibut,2
CT2020_025,025,coho,4
CT2020_025,025,yellowtail rockfish,1
CT2020_028,028,yellowtail rockfish,2
CT2020_028,028,coho,1
CT2020_029,029,yellowtail rockfish,1
CT2020_029,029,chinook,1
CT2020_030,030,coho,1
CT2020_030,030,yellowtail rockfish,1
CT2020_031,031,coho,1
CT2020_032,032,coho,1
CT2020_033,033,coho,4
CT2020_033,033,lingcod,1
CT2020_034,034,coho,9
CT2020_035,035,coho,9
CT2020_036,036,coho,6
CT2020_037,037,coho,1
CT2020_038,038,coho,10
CT2020_038,038,halibut,1
CT2020_039,039,coho,4
CT2020_040,040,coho,5
CT2020_041,041,coho,4
CT2020_042,042,coho,3
CT2020_042,042,halibut,1
CT2020_043,043,chinook,1
CT2020_044,044,coho,5
CT2020_044,044,yelloweye rockfish,2
CT2020_045,045,halibut,1
CT2020_046,046,coho,2
CT2020_047,047,coho,1
CT2020_049,049,coho,2
CT2020_049,049,chinook,1
CT2020_050,050,coho,1
CT2020_050,050,chinook,1
CT2020_051,051,coho,4
CT2020_052,052,coho,1
CT2020_053,053,coho,2
CT2020_053,053,chinook,1
CT2020_054,054,coho,1
CT2020_055,055,coho,4
CT2020_056,056,coho,1
CT2020_057,057,coho,5
CT2020_067,067,lingcod,1
CT2020_068,068,coho,2
CT2020_068,068,lingcod,1
CT2020_069,069,coho,8
CT2020_070,070,coho,2
CT2020_070,070,halibut,1
CT2020_071,071,coho,1
CT2020_071,071,lingcod,1
CT2020_072,072,coho,1
CT2020_072,072,halibut,1
CT2020_073,073,halibut,1
CT2020_077,077,lingcod,1
CT2020_078,078,coho,2
CT2020_080,080,coho,6
CT2020_081,081,coho,12
CT2020_082,082,coho,6
CT2020_083,083,coho,3
CT2020_083,083,halibut,1
CT2020_085,085,halibut,2
CT2020_086,086,chinook,1
CT2020_091,091,coho,1
CT2020_092,092,halibut,1
CT2020_096,096,halibut,1
CT2020_097,097,halibut,1
CT2020_098,098,halibut,1
CT2020_100,100,halibut,1
CT2020_100,100,lingcod,1
CT2020_101,101,halibut,1
CT2020_103,103,coho,4
CT2020_103,103,chinook,1
CT2020_104,104,halibut,1
CT2020_106,106,halibut,3
CT2020_106,106,coho,1
CT2020_107,107,chinook,2
CT2020_107,107,coho,3
CT2020_108,108,coho,4
CT2020_109,109,chinook,2
CT2020_109,109,coho,2
CT2020_110,110,coho,2
CT2020_111,111,coho,2
CT2020_112,112,chinook,1
CT2020_112,112,coho,3
CT2020_113,113,halibut,1
CT2020_114,114,coho,1
CT2020_115,115,chinook,1
CT2020_115,115,coho,3
CT2020_119,119,coho,2
CT2020_119,119,chinook,1
CT2020_120,120,coho,6
CT2020_120,120,chinook,1
CT2020_121,121,coho,6
CT2020_122,122,coho,2
CT2020_123,123,coho,11
CT2020_124,124,coho,6
CT2020_125,125,coho,3
CT2020_125,125,chinook,1
CT2020_126,126,lingcod,1
CT2020_127,127,coho,3
CT2020_128,128,coho,2
CT2020_128,128,chinook,1
CT2020_129,129,coho,2
CT2020_130,130,chinook,1
CT2020_132,132,halibut,1
CT2020_132,132,chinook,1
CT2020_136,136,chinook,1
CT2020_137,137,chinook,2
CT2020_138,138,chinook,4
CT2020_139,139,chinook,5
CT2020_140,140,chinook,5
CT2020_141,141,chinook,3
CT2020_142,142,chinook,1
CT2020_143,143,chinook,5
CT2020_144,144,coho,1
CT2020_145,145,chinook,7
CT2020_146,146,coho,1
CT2020_147,147,rockfish,1
CT2020_148,148,chinook,4
CT2020_149,149,chinook,4
CT2020_149,149,coho,1
CT2020_153,153,lingcod,1
CT2020_154,154,chinook,4
CT2020_154,154,lingcod,1
CT2020_155,155,chinook,3
CT2020_156,156,chinook,6
CT2020_157,157,chinook,3
CT2020_158,158,chinook,5
CT2020_158,158,coho,1
CT2020_160,160,chinook,1
CT2020_163,163,chinook,1
CT2020_164,164,chinook,3
CT2020_165,165,chinook,1
CT2020_166,166,chinook,2
CT2020_168,168,coho,1
CT2020_171,171,chinook,1
CT2020_172,172,canary rockfish,5
CT2020_172,172,lingcod,1
CT2020_173,173,canary rockfish,6
CT2020_174,174,canary rockfish,1
CT2020_175,175,coho,1
CT2020_175,175,halibut,1
CT2020_175,175,canary rockfish,1
CT2020_176,176,coho,5
CT2020_176,176,chinook,2
CT2020_177,177,chinook,3
CT2020_177,177,coho,4
CT2020_177,177,jack mackerel,1
CT2020_178,178,coho,5
CT2020_178,178,chinook,4
CT2020_178,178,jack mackerel,1
CT2020_179,179,chinook,7
CT2020_179,179,coho,6
CT2020_179,179,jack mackerel,3
CT2020_180,180,chinook,8
CT2020_180,180,coho,6
CT2020_181,181,coho,8
CT2020_181,181,chinook,6
CT2020_182,182,coho,7
CT2020_182,182,chinook,2
CT2020_183,183,coho,5
CT2020_183,183,chinook,1
CT2020_183,183,lingcod,2
CT2020_184,184,yellowtail rockfish,4
CT2020_185,185,yellowtail rockfish,2
CT2020_185,185,coho,1
CT2020_186,186,yellowtail rockfish,2
CT2020_186,186,canary rockfish,2
CT2020_186,186,chinook,1
CT2020_187,187,chinook,9
CT2020_187,187,yellowtail rockfish,2
CT2020_188,188,chinook,6
CT2020_188,188,yellowtail rockfish,4
CT2020_188,188,coho,1
CT2020_189,189,chinook,18
CT2020_189,189,yellowtail rockfish,4
CT2020_189,189,coho,2
CT2020_190,190,coho,1
CT2020_190,190,chinook,1
CT2020_190,190,yellowtail rockfish,1
CT2020_191,191,chinook,6
CT2020_191,191,coho,3
CT2020_191,191,yellowtail rockfish,1
CT2020_192,192,chinook,8
CT2020_192,192,coho,3
CT2020_193,193,coho,2
CT2020_193,193,chinook,5
CT2020_194,194,lingcod,2
CT2020_194,194,coho,2
CT2020_194,194,chinook,5
CT2020_195,195,coho,3
CT2020_195,195,chinook,2
CT2020_196,196,lingcod,3
CT2020_196,196,chinook,1
CT2020_197,197,chinook,3
CT2020_197,197,lingcod,2
CT2020_197,197,coho,2
CT2021_012,012,halibut,1
CT2021_013,013,lingcod,1
CT2021_020,020,chinook,2
CT2021_020,020,coho,1
CT2021_025,025,coho,1
CT2021_026,026,coho,1
CT2021_028,028,chinook,1
CT2021_028,028,coho,1
CT2021_029,029,chinook,1
CT2021_031,031,coho,2
CT2021_035,035,chinook,1
CT2021_036,036,coho,1
CT2021_037,037,coho,1
CT2021_038,038,coho,2
CT2021_041,041,chinook,1
CT2021_042,042,coho,3
CT2021_043,043,coho,2
CT2021_064,064,coho,8
CT2021_065,065,coho,5
CT2021_066,066,coho,3
CT2021_075,075,coho,1
CT2021_076,076,coho,6
CT2021_085,085,chinook,1
CT2021_085,085,coho,1
CT2021_088,088,chinook,1
CT2021_089,089,chinook,1
CT2021_089,089,coho,1
CT2021_090,090,chinook,2
CT2021_091,091,chinook,3
CT2021_091,091,halibut,1
CT2021_093,093,chinook,1
CT2021_095,095,chinook,2
CT2021_096,096,chinook,3
CT2021_101,101,chinook,1
CT2021_101,101,yellowtail rockfish,1
CT2021_102,102,lingcod,2
CT2021_103,103,yellowtail rockfish,1
CT2021_104,104,yellowtail rockfish,1
CT2021_105,105,yellowtail rockfish,2
CT2021_112,112,lingcod,1
CT2021_112,112,chinook,1
CT2021_113,113,lingcod,2
CT2021_115,115,chinook,1
CT2021_115,115,coho,1
CT2021_116,116,chinook,3
CT2021_116,116,coho,2
CT2021_117,117,chinook,3
CT2021_117,117,coho,10
CT2021_117,117,halibut,1
CT2021_118,118,coho,8
CT2021_118,118,pink,1
CT2021_119,119,coho,7
CT2021_120,120,coho,4
CT2021_120,120,chinook,1
CT2021_121,121,coho,2
CT2021_122,122,coho,2
CT2021_123,123,coho,1
CT2021_124,124,coho,1
CT2021_125,125,coho,17
CT2021_125,125,pink,1
CT2021_126,126,chinook,1
CT2021_126,126,coho,9
CT2021_127,127,coho,6
CT2021_128,128,coho,26
CT2021_128,128,pink,1
CT2021_128,128,halibut,1
CT2021_129,129,chinook,1
CT2021_130,130,coho,1
CT2021_130,130,chinook,4
CT2021_131,131,coho,1
CT2021_131,131,chinook,5
CT2021_132,132,halibut,1
CT2021_132,132,chinook,2
CT2021_133,133,halibut,1
CT2021_133,133,lingcod,1
CT2021_133,133,coho,1
CT2021_133,133,chinook,3
CT2021_134,134,coho,9
CT2021_134,134,chinook,5
CT2021_135,135,chinook,1
CT2021_135,135,coho,22
CT2021_137,137,chinook,4
CT2021_137,137,coho,9
CT2021_138,138,chinook,1
CT2021_138,138,coho,2
CT2021_138,138,lingcod,2
CT2021_139,139,quillback rockfish,1
CT2021_139,139,lingcod,1
CT2021_139,139,coho,1
CT2021_139,139,halibut,1
CT2021_140,140,chinook,1
CT2021_140,140,coho,1
CT2021_141,141,chinook,1
CT2021_141,141,coho,4
CT2021_142,142,coho,2
CT2021_142,142,lingcod,1
CT2021_143,143,chinook,1
CT2021_143,143,coho,4
CT2021_143,143,halibut,1
CT2021_143,143,lingcod,1
CT2021_144,144,chinook,1
CT2021_144,144,coho,6
CT2021_144,144,halibut,1
CT2021_145,145,chinook,1
CT2021_145,145,halibut,1
CT2021_145,145,coho,1
CT2021_146,146,halibut,3
CT2021_146,146,pink,1
CT2021_146,146,coho,4
CT2021_147,147,chinook,2
CT2021_147,147,pink,1
CT2021_147,147,coho,3
CT2021_148,148,coho,7
CT2021_148,148,lingcod,1
CT2021_149,149,chinook,4
CT2021_150,150,chinook,11
CT2021_150,150,coho,3
CT2021_151,151,chinook,3
CT2021_152,152,chinook,2
CT2021_152,152,coho,1
CT2021_153,153,chinook,1
CT2021_154,154,chinook,3
CT2021_155,155,chinook,8
CT2021_155,155,coho,1
CT2021_155,155,yellowtail rockfish,1
CT2021_156,156,chinook,7
CT2021_156,156,coho,3
CT2021_156,156,yellowtail rockfish,2
CT2021_157,157,chinook,7
CT2021_157,157,yellowtail rockfish,2
CT2021_158,158,chinook,3
CT2021_158,158,lingcod,1
CT2021_158,158,yellowtail rockfish,1
CT2021_159,159,chinook,2
CT2021_159,159,coho,1
CT2021_159,159,lingcod,1
CT2021_160,160,chinook,2
CT2021_161,161,chinook,3
CT2021_162,162,chinook,2
CT2021_162,162,lingcod,1
CT2021_164,164,chinook,2
CT2021_164,164,canary rockfish,1
CT2021_165,165,pink,1
CT2021_166,166,chinook,9
CT2021_166,166,coho,1
CT2021_166,166,pink,1
CT2021_167,167,chinook,5
CT2021_168,168,chinook,3
CT2021_168,168,coho,1
CT2021_169,169,chinook,2
CT2021_169,169,lingcod,1
CT2021_170,170,canary rockfish,1
CT2021_171,171,chinook,4
CT2021_171,171,pink,1
CT2021_172,172,chinook,1
CT2021_174,174,chinook,4
CT2021_175,175,chinook,1
CT2021_176,176,chinook,2
CT2021_177,177,chinook,3
CT2021_178,178,halibut,1
CT2021_179,179,chinook,6
CT2021_180,180,chinook,4
CT2021_180,180,coho,1
CT2021_182,182,chinook,2
CT2021_183,183,chinook,9
CT2021_183,183,halibut,1
CT2021_184,184,chinook,4
CT2021_185,185,coho,3
CT2021_185,185,halibut,1
CT2021_186,186,coho,1
CT2021_186,186,lingcod,1
CT2021_186,186,chinook,7
CT2021_187,187,chinook,5
CT2021_187,187,coho,5
CT2021_188,188,chinook,2
CT2021_188,188,coho,6
CT2021_189,189,chinook,3
CT2021_189,189,coho,4
CT2021_190,190,chinook,3
CT2021_190,190,coho,3
CT2021_191,191,chinook,3
CT2021_191,191,coho,4
CT2021_192,192,coho,13
CT2021_193,193,coho,11
CT2021_193,193,pink,1
CT2021_194,194,coho,3
CT2021_194,194,lingcod,1
CT2021_195,195,chinook,1
CT2021_195,195,coho,4
CT2021_195,195,halibut,1
CT2021_196,196,chinook,1
CT2021_196,196,coho,3
CT2021_196,196,lingcod,1
CT2021_197,197,chinook,2
CT2021_197,197,coho,3
CT2021_199,199,chinook,2
CT2021_199,199,coho,2
CT2021_200,200,chinook,1
CT2021_200,200,coho,5
CT2021_201,201,chinook,7
CT2021_201,201,coho,6
CT2021_202,202,chinook,2
CT2021_202,202,coho,12
CT2021_202,202,lingcod,1
CT2021_202,202,halibut,1
CT2021_203,203,chinook,2
CT2021_203,203,coho,2
CT2021_204,204,coho,2
CT2021_205,205,chinook,7
CT2021_205,205,coho,5
CT2021_205,205,pink,1
CT2021_205,205,mystery rockfish,1
CT2021_206,206,chinook,4
CT2021_206,206,coho,9
CT2021_206,206,pink,3
CT2021_207,207,chinook,2
CT2021_207,207,coho,8
CT2021_207,207,pink,1
CT2021_208,208,chinook,6
CT2021_208,208,coho,3
CT2021_209,209,chinook,1
CT2021_209,209,coho,12
CT2021_209,209,halibut,1
CT2021_209,209,pink,2
CT2021_210,210,coho,7
CT2021_211,211,coho,13
CT2021_211,211,lingcod,1
CT2021_212,212,coho,5
CT2021_212,212,chinook,2
CT2021_213,213,coho,7
CT2021_213,213,chinook,2
CT2021_214,214,halibut,3
CT2021_214,214,coho,6
CT2021_214,214,chinook,2
CT2021_215,215,coho,6
CT2021_215,215,chinook,5
CT2021_216,216,chinook,4
CT2021_216,216,coho,6
CT2021_216,216,pink,1
CT2021_217,217,pink,1
CT2021_217,217,coho,10
CT2021_217,217,chinook,2
CT2021_218,218,chinook,3
CT2021_218,218,coho,2
CT2021_219,219,chinook,2
CT2021_219,219,coho,7
CT2021_220,220,chinook,1
CT2021_220,220,coho,4
CT2021_221,221,chinook,4
CT2021_221,221,pink,1
CT2021_221,221,coho,5
CT2021_222,222,chinook,2
CT2021_222,222,coho,3
CT2021_223,223,coho,4
CT2021_224,224,chinook,2
CT2021_224,224,coho,5
CT2021_224,224,pink,1
CT2021_224,224,halibut,1
CT2021_225,225,chinook,2
CT2021_226,226,chinook,2
CT2021_227,227,chinook,1
CT2021_228,228,chinook,2
CT2021_229,229,chinook,2
CT2021_229,229,coho,1
CT2021_230,230,pink,1
CT2021_232,232,chinook,1
CT2021_234,234,coho,1
CT2021_237,237,chinook,1
CT2021_237,237,coho,2
CT2021_239,239,canary rockfish,1
CT2021_241,241,lingcod,1
CT2021_242,242,chinook,3
CT2021_243,243,chinook,4
CT2021_244,244,chinook,3
CT2021_244,244,yellowtail rockfish,1
CT2021_245,245,chinook,4
CT2021_246,246,chinook,6
CT2021_247,247,chinook,7
CT2021_247,247,coho,2
CT2021_248,248,chinook,3
CT2021_248,248,widow rockfish,1
CT2021_248,248,coho,1
CT2021_248,248,yellowtail rockfish,1
CT2021_249,249,chinook,3
CT2021_249,249,yellowtail rockfish,3
CT2021_249,249,widow rockfish,3
CT2021_249,249,lingcod,1
CT2021_250,250,chinook,2
CT2021_250,250,coho,2
CT2021_251,251,chinook,5
CT2021_251,251,widow rockfish,2
CT2021_252,252,coho,1
CT2021_252,252,chinook,1
CT2021_253,253,chinook,2
CT2021_253,253,coho,1
CT2021_254,254,chinook,1
CT2021_254,254,coho,1
CT2021_255,255,coho,1
CT2021_256,256,chinook,1
CT2021_257,257,chinook,3
CT2021_258,258,chinook,1
CT2021_258,258,widow rockfish,1
CT2021_258,258,canary rockfish,1
CT2022_001,001,chinook,2
CT2022_003,003,chinook,4
CT2022_003,003,lingcod,1
CT2022_004,004,chinook,6
CT2022_005,005,chinook,4
CT2022_005,005,coho,3
CT2022_006,006,coho,1
CT2022_007,007,chinook,1
CT2022_007,007,coho,1
CT2022_008,008,coho,4
CT2022_009,009,coho,1
CT2022_010,010,chinook,1
CT2022_010,010,coho,3
CT2022_010,010,lingcod,1
CT2022_011,011,chinook,1
CT2022_012,012,chinook,3
CT2022_012,012,coho,1
CT2022_013,013,coho,1
CT2022_014,014,chinook,4
CT2022_014,014,coho,3
CT2022_015,015,chinook,6
CT2022_016,016,chinook,3
CT2022_017,017,chinook,9
CT2022_018,018,chinook,5
CT2022_018,018,coho,1
CT2022_019,019,chinook,3
CT2022_019,019,coho,1
CT2022_019,019,halibut,1
CT2022_020,020,chinook,7
CT2022_021,021,chinook,3
CT2022_022,022,chinook,9
CT2022_023,023,chinook,4
CT2022_024,024,chinook,2
CT2022_025,025,chinook,5
CT2022_025,025,coho,3
CT2022_026,026,chinook,1
CT2022_027,027,chinook,1
CT2022_027,027,redstripe rockfish,1
CT2022_028,028,chinook,6
CT2022_028,028,coho,2
CT2022_029,029,chinook,1
CT2022_029,029,gray cod,1
CT2022_030,030,coho,1
CT2022_030,030,chinook,1
CT2022_031,031,chinook,2
CT2022_032,032,chinook,7
CT2022_033,033,chinook,5
CT2022_034,034,coho,3
CT2022_034,034,lingcod,5
CT2022_035,035,chinook,2
CT2022_035,035,lingcod,2
CT2022_036,036,chinook,1
CT2022_037,037,chinook,2
CT2022_037,037,lingcod,3
CT2022_037,037,coho,1
CT2022_038,038,chinook,6
CT2022_039,039,chinook,4
CT2022_039,039,lingcod,4
